WORD_NAME	label	negative	neutral	positive
@user207432	negative	0.641	0.263	0.095
christmas-y	positive	0.149	0.044	0.808
@user207409	positive	0.131	0.421	0.448
criss	neutral	0.03	0.512	0.458
crist	negative	0.564	0.24	0.196
christmases	positive	0.149	0.337	0.513
crisp	neutral	0.056	0.755	0.189
crita	neutral	0.014	0.889	0.098
shiraz	neutral	0.222	0.629	0.149
crips	negative	0.866	0.109	0.024
injected	negative	0.684	0.273	0.043
shirey	negative	0.411	0.349	0.24
shirin	positive	0.333	0.182	0.485
criib	neutral	0.428	0.564	0.008
boggles	negative	0.604	0.329	0.067
@user207562	positive	0.175	0.345	0.48
@user207501	neutral	0.157	0.621	0.223
santacon	neutral	0.205	0.54	0.255
tenants	negative	0.427	0.403	0.17
terrell	neutral	0.211	0.633	0.156
@user207268	neutral	0.211	0.666	0.124
shines	positive	0.222	0.3	0.478
shiney	positive	0.252	0.37	0.378
shiner	neutral	0.072	0.778	0.15
shined	negative	0.518	0.44	0.041
shinee	positive	0.184	0.211	0.605
wealthy	positive	0.31	0.111	0.579
christmassy	negative	0.733	0.037	0.23
christmasss	positive	0.061	0.262	0.677
shinin	positive	0.311	0.264	0.425
bitters	neutral	0.065	0.808	0.127
korner	neutral	0.041	0.746	0.212
shinny	negative	0.498	0.393	0.109
souljaboy	negative	0.468	0.335	0.197
develope	neutral	0.025	0.613	0.362
develops	positive	0.154	0.193	0.653
bawling	negative	0.836	0.146	0.018
florentine	neutral	0.016	0.835	0.149
rejuvenation	positive	0.02	0.396	0.584
@user917747	neutral	0.273	0.476	0.251
rudolf	neutral	0.115	0.615	0.27
@user207097	positive	0.176	0.218	0.606
aishwarya	neutral	0.132	0.612	0.256
@user746256	negative	0.448	0.373	0.179
@user207000	negative	0.518	0.365	0.117
crops	neutral	0.166	0.703	0.13
croke	neutral	0.044	0.768	0.188
croix	positive	0.145	0.298	0.557
shittt	negative	0.701	0.225	0.074
shitty	negative	0.741	0.213	0.046
governments	negative	0.6	0.307	0.093
powerfull	positive	0.049	0.073	0.877
slimming	neutral	0.071	0.511	0.418
hammerstein	neutral	0.012	0.811	0.177
crocs	neutral	0.261	0.719	0.019
@user1437112	positive	0.041	0.228	0.73
scarves	neutral	0.049	0.878	0.073
@user207197	neutral	0.282	0.673	0.045
@user207176	negative	0.628	0.316	0.056
@user207160	negative	0.512	0.195	0.293
godbless	positive	0.012	0.074	0.915
@user207111	negative	0.526	0.423	0.051
@user207115	neutral	0.139	0.743	0.118
emmanuel	neutral	0.085	0.677	0.238
scenarios	neutral	0.331	0.573	0.096
mosquitos	negative	0.817	0.162	0.021
shisha	neutral	0.251	0.667	0.082
paling	neutral	0.087	0.779	0.135
palins	negative	0.71	0.239	0.051
shirky	neutral	0.397	0.527	0.076
lucys	neutral	0.144	0.699	0.157
shirts	neutral	0.063	0.866	0.071
bertrand	positive	0.115	0.243	0.641
giggling	negative	0.55	0.324	0.126
!!!!!!!!!!!!!!!!!!!!	negative	0.514	0.108	0.379
subliminals	negative	0.787	0.178	0.035
lucia	neutral	0.14	0.58	0.28
lucie	neutral	0.075	0.576	0.349
lucks	positive	0.32	0.061	0.619
luckk	positive	0.029	0.186	0.785
crowe	neutral	0.097	0.575	0.328
crows	neutral	0.404	0.528	0.068
@user746329	neutral	0.141	0.658	0.201
lucro	negative	0.612	0.387	0.001
trevor	neutral	0.16	0.564	0.276
crore	neutral	0.112	0.788	0.1
#quote	positive	0.165	0.202	0.633
-cant	negative	0.724	0.261	0.014
lucas	neutral	0.235	0.592	0.173
http://okemosbrewing.com	neutral	0.423	0.527	0.051
lucca	positive	0.193	0.237	0.569
spanning	neutral	0.094	0.8	0.106
tie-in	negative	0.434	0.325	0.241
tickin	neutral	0.171	0.77	0.059
dorchester	neutral	0.012	0.797	0.191
ticked	negative	0.85	0.051	0.099
wyclef	neutral	0.138	0.571	0.292
@user311004	neutral	0.273	0.446	0.281
@user311039	positive	0.209	0.245	0.546
@user311029	negative	0.388	0.368	0.244
americorps	neutral	0.241	0.498	0.261
list-building	neutral	0.017	0.864	0.12
hashbrowns	neutral	0.048	0.865	0.087
bunnymen	neutral	0.019	0.832	0.149
zippo	neutral	0.153	0.799	0.048
brisket	neutral	0.021	0.932	0.048
#how2getrich	negative	0.699	0.106	0.195
buckinghamshire	neutral	0.062	0.759	0.18
http://bit.ly/hfx5y	neutral	0.043	0.83	0.126
luego	negative	0.511	0.423	0.066
voucher	neutral	0.01	0.619	0.37
kforce	neutral	0.001	0.79	0.21
koreas	neutral	0.369	0.582	0.049
pinning	neutral	0.231	0.499	0.27
korean	neutral	0.217	0.598	0.185
ayyyye	positive	0.03	0.17	0.8
ayyyyy	negative	0.516	0.344	0.14
#tweets	positive	0.186	0.326	0.488
cruze	neutral	0.044	0.805	0.151
crush	negative	0.362	0.337	0.301
crunk	negative	0.739	0.141	0.12
crump	neutral	0.353	0.372	0.275
django	neutral	0.077	0.828	0.095
pontiac	neutral	0.038	0.866	0.097
15-year-old	negative	0.768	0.212	0.02
ponting	negative	0.705	0.143	0.152
lugar	neutral	0.126	0.806	0.068
hdnet	neutral	0.25	0.71	0.04
@user1094542	neutral	0.051	0.685	0.263
@user207920	positive	0.188	0.391	0.421
@user207929	negative	0.711	0.282	0.007
paltrow	neutral	0.066	0.504	0.431
#notagoodlook	negative	0.804	0.142	0.054
lukas	positive	0.083	0.345	0.571
end-of-life	negative	0.562	0.151	0.287
#dallas	neutral	0.32	0.401	0.279
damnnnn	negative	0.674	0.24	0.086
http://xrl.us/bgeeij	neutral	0.012	0.641	0.346
@user207874	negative	0.626	0.219	0.155
@user207862	neutral	0.308	0.549	0.143
fortaleza	neutral	0.007	0.655	0.337
@user207832	negative	0.612	0.305	0.083
jihadist	negative	0.701	0.273	0.026
#thingsyoudontknowaboutme	negative	0.544	0.428	0.027
fazenda	neutral	0.156	0.735	0.11
fazendo	neutral	0.157	0.768	0.075
luigi	positive	0.156	0.255	0.589
paloma	positive	0.136	0.212	0.653
#bargain	neutral	0.055	0.624	0.321
@user207962	positive	0.136	0.369	0.495
terrain	neutral	0.075	0.701	0.224
targeted	neutral	0.152	0.493	0.355
meditating	positive	0.154	0.367	0.479
cryin	negative	0.776	0.175	0.05
cryed	neutral	0.339	0.378	0.283
lyndon	neutral	0.029	0.498	0.473
shizzz	positive	0.377	0.226	0.397
warranties	neutral	0.321	0.349	0.33
warriors	positive	0.383	0.223	0.394
@user207682	positive	0.159	0.15	0.692
@user207637	neutral	0.253	0.406	0.341
@user207639	positive	0.024	0.38	0.596
@user207624	negative	0.563	0.358	0.08
@user207625	neutral	0.134	0.616	0.249
@user207627	neutral	0.176	0.574	0.25
@user207628	neutral	0.064	0.767	0.169
jaebum	positive	0.332	0.209	0.46
lulus	neutral	0.123	0.804	0.074
zoolander	negative	0.529	0.229	0.242
chuckles	negative	0.588	0.143	0.269
lukes	neutral	0.157	0.504	0.339
@user1094947	neutral	0.097	0.613	0.289
lukin	negative	0.396	0.284	0.32
bellingham	neutral	0.13	0.648	0.222
alfred	neutral	0.128	0.551	0.321
chuckled	neutral	0.251	0.559	0.19
lembrar	neutral	0.174	0.763	0.063
@user207760	positive	0.006	0.297	0.697
crybaby	negative	0.926	0.044	0.03
@user299600	positive	0.164	0.213	0.623
resolve	positive	0.162	0.39	0.448
quad-core	positive	0.137	0.346	0.516
@user299610	negative	0.753	0.108	0.139
@user299615	neutral	0.364	0.498	0.138
hallowed	positive	0.132	0.333	0.535
@user574254	neutral	0.066	0.639	0.295
postfixxxer	neutral	0.032	0.933	0.035
@user310566	positive	0.319	0.254	0.428
andreas	neutral	0.259	0.398	0.344
blackwater	negative	0.783	0.124	0.093
@user310546	negative	0.456	0.416	0.129
http://tinychat.com/isthatcortez	neutral	0.014	0.616	0.37
telefone	neutral	0.259	0.681	0.06
scaring	negative	0.917	0.038	0.045
hermitage	neutral	0.01	0.871	0.119
lunas	neutral	0.05	0.738	0.212
crocodiles	neutral	0.481	0.483	0.036
@user299541	neutral	0.143	0.637	0.22
lunes	neutral	0.097	0.737	0.165
http://www.lilmuse.com/r3.php	positive	0.006	0.256	0.738
lumix	neutral	0.015	0.734	0.251
hdtvs	positive	0.034	0.452	0.514
orwell	neutral	0.143	0.71	0.147
@user310498	neutral	0.248	0.594	0.159
lumps	neutral	0.15	0.786	0.064
libertarian	neutral	0.155	0.7	0.144
chucking	neutral	0.107	0.741	0.152
@user299422	neutral	0.062	0.727	0.211
@user299424	neutral	0.358	0.558	0.084
tumblrs	negative	0.689	0.174	0.138
lupus	negative	0.793	0.067	0.14
corinthians	positive	0.113	0.399	0.487
bridgeport	neutral	0.008	0.742	0.25
depois	neutral	0.143	0.818	0.039
finishd	neutral	0.059	0.76	0.181
@user310346	negative	0.482	0.057	0.461
revisiting	neutral	0.147	0.449	0.404
#dance	neutral	0.213	0.545	0.242
lupes	neutral	0.419	0.527	0.054
@user299320	neutral	0.117	0.443	0.44
lupin	positive	0.026	0.269	0.706
treads	negative	0.598	0.296	0.106
@user299333	positive	0.013	0.371	0.616
@user1054	neutral	0.169	0.534	0.297
@user1056	negative	0.599	0.185	0.216
@user1081	neutral	0.267	0.603	0.13
@user310207	neutral	0.22	0.518	0.262
@user310208	positive	0.042	0.274	0.684
@user310226	positive	0.004	0.473	0.523
@user1006	positive	0.041	0.435	0.524
treats	positive	0.417	0.1	0.483
tumblarity	negative	0.498	0.29	0.212
38-24	positive	0.168	0.312	0.52
shiddd	neutral	0.212	0.678	0.109
samsung	neutral	0.027	0.674	0.299
@user310095	neutral	0.293	0.602	0.105
christmassss	positive	0.044	0.149	0.807
lurve	positive	0.085	0.235	0.68
@user1172	neutral	0.117	0.503	0.38
leveled	neutral	0.424	0.494	0.082
@user1094416	neutral	0.07	0.848	0.082
screengrab	neutral	0.306	0.633	0.061
#pixivtweet	negative	0.492	0.473	0.036
trimmings	neutral	0.012	0.632	0.356
lured	negative	0.76	0.177	0.064
wiretap	negative	0.688	0.251	0.061
lures	negative	0.61	0.165	0.224
scaredd	negative	0.818	0.04	0.142
shield	neutral	0.273	0.588	0.139
@user299122	neutral	0.085	0.653	0.262
@user310038	neutral	0.399	0.436	0.165
@user1285	neutral	0.1	0.708	0.192
@user1287	neutral	0.28	0.5	0.22
@user1288	neutral	0.123	0.83	0.047
@user299196	neutral	0.23	0.641	0.129
@user1294	positive	0.016	0.145	0.838
brightening	positive	0.014	0.31	0.676
@user574796	neutral	0.312	0.545	0.143
@user1201	neutral	0.17	0.649	0.181
@user2624929	neutral	0.058	0.574	0.369
indicators	neutral	0.161	0.457	0.382
eventhough	negative	0.524	0.377	0.099
resorts	positive	0.075	0.412	0.513
bicycles	neutral	0.074	0.885	0.041
bristol	neutral	0.03	0.776	0.194
c.i.a.	negative	0.45	0.422	0.128
@user1387	neutral	0.041	0.502	0.456
@user299049	neutral	0.075	0.523	0.402
@user1371	negative	0.393	0.321	0.287
#engadget	neutral	0.096	0.623	0.281
@user299026	neutral	0.178	0.709	0.113
@user6003889	positive	0.02	0.154	0.825
@user1328	neutral	0.041	0.596	0.363
addictive	negative	0.855	0.062	0.083
@user1344	positive	0.222	0.333	0.445
@user1345	neutral	0.219	0.467	0.314
@user1094238	negative	0.675	0.14	0.184
england	positive	0.299	0.343	0.358
@user1362	neutral	0.112	0.528	0.36
@user1356	neutral	0.234	0.738	0.028
@user1094203	negative	0.501	0.235	0.264
@user574955	negative	0.393	0.312	0.295
@user574981	positive	0.2	0.135	0.665
@user1404	neutral	0.172	0.517	0.311
@user1408	neutral	0.397	0.536	0.068
@user1409	positive	0.062	0.287	0.651
@user574974	neutral	0.193	0.715	0.092
luton	neutral	0.087	0.608	0.305
colossians	positive	0.052	0.153	0.795
dethklok	positive	0.348	0.082	0.571
andrews	neutral	0.24	0.5	0.26
lusty	negative	0.674	0.154	0.173
inhibitions	positive	0.389	0.103	0.508
headliner	neutral	0.219	0.732	0.049
headlines	neutral	0.429	0.467	0.104
'world\'s'	positive	0.262	0.217	0.521
palindrome	positive	0.075	0.157	0.768
@user1430	neutral	0.364	0.536	0.099
@user1438	negative	0.565	0.373	0.062
@user1452	neutral	0.38	0.535	0.085
#darts	neutral	0.152	0.672	0.176
b-more	positive	0.177	0.313	0.51
twinkling	positive	0.044	0.289	0.667
headlight	neutral	0.101	0.809	0.09
@user1527	negative	0.468	0.298	0.234
$aapl	neutral	0.215	0.683	0.102
@user1570	positive	0.091	0.381	0.528
notches	negative	0.564	0.369	0.067
@user1595	negative	0.5	0.211	0.289
terrors	positive	0.461	0.059	0.479
shiiit	neutral	0.382	0.489	0.129
@user1607	negative	0.513	0.314	0.173
luvly	positive	0.013	0.181	0.805
shorteners	neutral	0.188	0.642	0.17
@user1624	positive	0.048	0.161	0.79
varies	neutral	0.195	0.658	0.147
@user1615	neutral	0.173	0.421	0.406
@user1640	positive	0.012	0.188	0.8
@user1648	neutral	0.106	0.492	0.402
@user1639	negative	0.369	0.337	0.294
shiite	negative	0.749	0.228	0.023
midnite	neutral	0.063	0.837	0.1
shiitt	neutral	0.227	0.718	0.055
varios	neutral	0.248	0.649	0.102
luvya	positive	0.004	0.104	0.893
depend	neutral	0.135	0.614	0.252
melbourne	neutral	0.231	0.435	0.333
riiiiight	neutral	0.17	0.439	0.39
http://xrl.us/bgdxpr	neutral	0.022	0.838	0.14
stalled	negative	0.622	0.355	0.023
@user1669	neutral	0.115	0.563	0.322
#weloveyouryan	positive	0.146	0.163	0.69
worldcup	neutral	0.271	0.492	0.238
luved	positive	0.193	0.206	0.602
luvin	positive	0.1	0.095	0.805
@user1701	neutral	0.079	0.748	0.173
#tweetsgiving	positive	0.008	0.361	0.63
@user1724	negative	0.478	0.386	0.136
@user1730	positive	0.045	0.344	0.611
@user1768	neutral	0.151	0.475	0.375
graffitti	neutral	0.304	0.37	0.326
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	negative	0.507	0.268	0.226
heals	negative	0.531	0.058	0.411
stalker	negative	0.842	0.101	0.057
healt	positive	0.355	0.226	0.419
healy	negative	0.625	0.234	0.141
stalked	negative	0.843	0.036	0.121
@user1777	neutral	0.259	0.655	0.087
@user1778	negative	0.462	0.444	0.094
lynyrd	neutral	0.267	0.434	0.299
headn	neutral	0.178	0.583	0.239
headd	neutral	0.451	0.492	0.058
heady	positive	0.349	0.224	0.427
headz	negative	0.412	0.345	0.243
heads	negative	0.472	0.362	0.166
head-	neutral	0.362	0.571	0.067
stalkin	negative	0.815	0.117	0.068
promoted	negative	0.425	0.225	0.35
promoter	neutral	0.279	0.449	0.272
luxor	neutral	0.012	0.877	0.111
promotes	positive	0.222	0.275	0.503
@user1001263	neutral	0.164	0.482	0.354
@user1846	negative	0.419	0.281	0.301
vargas	neutral	0.069	0.622	0.309
@user1880	positive	0.138	0.422	0.44
@user1883	neutral	0.015	0.573	0.412
@user1872	neutral	0.428	0.532	0.04
@user1873	negative	0.629	0.313	0.058
terroir	neutral	0.001	0.583	0.415
@user1875	positive	0.054	0.454	0.492
@user1001202	neutral	0.276	0.621	0.104
promotin	negative	0.547	0.386	0.067
@user1711647	positive	0.213	0.383	0.404
@user1802	positive	0.218	0.006	0.776
shifts	negative	0.71	0.214	0.076
shifty	negative	0.562	0.333	0.105
#dawgs	neutral	0.014	0.523	0.463
shilpa	neutral	0.05	0.607	0.342
@user310967	neutral	0.034	0.498	0.469
shiloh	neutral	0.025	0.708	0.267
@user310956	positive	0.218	0.345	0.437
@user310957	positive	0.059	0.365	0.576
cut-off	neutral	0.18	0.655	0.165
@user1967	positive	0.023	0.255	0.723
@user1968	positive	0.024	0.204	0.772
@user1954	neutral	0.129	0.669	0.202
@user1955	positive	0.211	0.281	0.508
@user1986	neutral	0.092	0.503	0.404
@user310945	neutral	0.067	0.671	0.262
@user1990	positive	0.052	0.348	0.6
11/12/09	neutral	0.077	0.784	0.139
@user310903	neutral	0.078	0.554	0.368
@user1916	positive	0.015	0.418	0.566
manhatten	neutral	0.332	0.556	0.112
outfitters	neutral	0.144	0.8	0.056
manhattan	neutral	0.155	0.647	0.198
brisbane	neutral	0.212	0.505	0.283
hecks	negative	0.486	0.309	0.204
hecka	neutral	0.46	0.474	0.066
hecho	neutral	0.219	0.629	0.152
embarks	neutral	0.009	0.649	0.342
shutdown	negative	0.611	0.315	0.074
capella	neutral	0.144	0.634	0.222
capello	positive	0.206	0.318	0.476
hebat	neutral	0.012	0.697	0.291
hit-and-run	negative	0.906	0.062	0.032
@user299933	neutral	0.148	0.722	0.131
capelta	neutral	0.021	0.808	0.171
raymond	neutral	0.079	0.715	0.206
@user1265316	positive	0.002	0.196	0.802
heavy	negative	0.453	0.423	0.124
britain	negative	0.507	0.223	0.27
heats	neutral	0.368	0.512	0.119
hearn	negative	0.599	0.388	0.013
hears	negative	0.563	0.098	0.339
heart	positive	0.382	0.057	0.561
heard	neutral	0.374	0.545	0.081
heaps	positive	0.095	0.433	0.473
ongoing	neutral	0.283	0.397	0.32
pacquio	negative	0.528	0.216	0.255
britany	negative	0.586	0.161	0.253
heboh	neutral	0.113	0.843	0.045
half-price	neutral	0.078	0.575	0.347
depart	neutral	0.166	0.674	0.16
http://u.nu/55vz3	neutral	0.054	0.512	0.434
depaul	neutral	0.021	0.843	0.136
heeft	neutral	0.178	0.725	0.097
heeee	neutral	0.051	0.535	0.413
heeey	positive	0.046	0.334	0.619
http://xrl.us/bgds7u	negative	0.488	0.085	0.426
construa	neutral	0.149	0.821	0.029
rudest	negative	0.629	0.051	0.321
#perfectwoman	negative	0.54	0.211	0.249
palais	neutral	0.014	0.661	0.326
android	neutral	0.065	0.601	0.334
rudely	negative	0.737	0.217	0.045
@user310770	negative	0.418	0.357	0.225
@user310776	positive	0.079	0.414	0.507
heehe	positive	0.068	0.256	0.676
@user310779	negative	0.597	0.301	0.102
@user299728	neutral	0.343	0.461	0.196
@user299716	neutral	0.354	0.415	0.231
@user310623	positive	0.042	0.229	0.729
@user310616	positive	0.069	0.431	0.5
@user299746	positive	0.008	0.15	0.842
injects	negative	0.784	0.026	0.19
@user1001637	neutral	0.181	0.427	0.393
trends	neutral	0.041	0.52	0.439
#flames	negative	0.706	0.146	0.148
@user574174	neutral	0.083	0.544	0.373
@user574127	negative	0.626	0.279	0.095
@user1436894	negative	0.788	0.14	0.073
@user1265090	negative	0.546	0.298	0.155
@user310665	positive	0.061	0.26	0.68
hedge	neutral	0.126	0.618	0.256
fontana	neutral	0.046	0.825	0.129
#property	neutral	0.045	0.744	0.211
http://xrl.us/bgfw5s	neutral	0.041	0.692	0.266
http://xrl.us/bgfua8	neutral	0.01	0.843	0.147
desean	negative	0.4	0.282	0.318
#merry	positive	0.011	0.198	0.791
samuels	neutral	0.079	0.717	0.204
http://bit.ly/6s3eaa	positive	0.042	0.124	0.834
@user1005657	neutral	0.263	0.629	0.107
http://bit.ly/cz1hh	positive	0.117	0.062	0.821
heffa	negative	0.489	0.429	0.082
gusdur	neutral	0.079	0.575	0.347
sametime	neutral	0.036	0.797	0.167
heeyy	positive	0.077	0.116	0.806
overpowered	negative	0.865	0.12	0.015
hefty	neutral	0.32	0.482	0.198
@user208891	positive	0.048	0.471	0.481
franciscan	neutral	0.023	0.713	0.264
@user208820	positive	0.119	0.1	0.781
#taeyang	positive	0.1	0.212	0.688
heinz	negative	0.467	0.458	0.076
heigl	neutral	0.277	0.421	0.302
#metal	negative	0.382	0.317	0.301
franciscos	positive	0.092	0.251	0.657
__________	neutral	0.304	0.459	0.237
unranked	neutral	0.207	0.732	0.061
heidi	neutral	0.055	0.57	0.374
homebound	positive	0.16	0.274	0.566
greensboro	neutral	0.178	0.487	0.335
sherrod	positive	0.455	0.062	0.483
@user208554	negative	0.447	0.423	0.13
@user208543	neutral	0.357	0.588	0.055
doooooo	neutral	0.203	0.496	0.3
@user208533	positive	0.05	0.46	0.49
@user208518	negative	0.451	0.27	0.279
heist	neutral	0.091	0.559	0.35
cspan	negative	0.514	0.444	0.042
hehhe	positive	0.051	0.411	0.538
$amzn	neutral	0.132	0.758	0.11
hehee	neutral	0.059	0.537	0.404
heheh	positive	0.059	0.321	0.62
positve	positive	0.022	0.229	0.749
panhandling	neutral	0.358	0.583	0.059
lvatt	positive	0.247	0.25	0.504
greeley	neutral	0.007	0.618	0.375
#bobcats	negative	0.746	0.18	0.073
shortlist	neutral	0.044	0.585	0.371
hekka	negative	0.726	0.259	0.014
restrooms	neutral	0.184	0.642	0.175
jahvid	positive	0.028	0.38	0.592
helen	neutral	0.046	0.541	0.413
-damn	negative	0.659	0.099	0.242
@user208345	neutral	0.045	0.48	0.475
@user747586	positive	0.081	0.443	0.476
@user208346	neutral	0.165	0.657	0.178
summarized	positive	0.036	0.407	0.558
@user208315	negative	0.747	0.098	0.155
servicecheck	neutral	0.298	0.58	0.122
unforgiven	negative	0.705	0.252	0.043
#flamengo	positive	0.246	0.153	0.601
potlatch	neutral	0.097	0.854	0.049
greeeat	positive	0.11	0.058	0.832
decades	neutral	0.143	0.681	0.176
@user747414	neutral	0.073	0.657	0.27
british	neutral	0.189	0.634	0.177
@user208492	positive	0.306	0.215	0.479
@user208477	negative	0.587	0.31	0.103
@user208456	neutral	0.184	0.507	0.309
@user208432	neutral	0.092	0.819	0.09
#gagaowned2009	positive	0.419	0.149	0.432
@user208410	neutral	0.058	0.612	0.33
danielles	neutral	0.294	0.593	0.113
tricia	neutral	0.052	0.563	0.385
catwalk	neutral	0.075	0.792	0.133
ashtray	neutral	0.224	0.75	0.027
tricks	neutral	0.086	0.522	0.392
tricky	negative	0.832	0.094	0.075
trials	neutral	0.257	0.509	0.233
@user140960	neutral	0.371	0.6	0.029
income	positive	0.123	0.369	0.508
stockin	neutral	0.456	0.517	0.028
psoriasis	negative	0.792	0.064	0.145
hemmm	neutral	0.111	0.647	0.241
@user208174	neutral	0.287	0.682	0.031
stocked	neutral	0.098	0.492	0.41
@user208125	neutral	0.188	0.418	0.394
hence	neutral	0.395	0.48	0.124
tribal	neutral	0.216	0.662	0.123
tribes	negative	0.364	0.334	0.302
menopause	negative	0.723	0.211	0.066
zanzibar	neutral	0.036	0.534	0.429
helpp	positive	0.155	0.187	0.658
heloo	positive	0.009	0.209	0.782
self-promotion	positive	0.332	0.109	0.559
helms	neutral	0.184	0.533	0.283
-demi	negative	0.621	0.092	0.287
helll	negative	0.736	0.142	0.122
hella	negative	0.649	0.312	0.04
hellz	negative	0.559	0.282	0.16
helly	neutral	0.217	0.67	0.113
hello	positive	0.039	0.377	0.585
@user208287	positive	0.152	0.337	0.511
maggies	neutral	0.207	0.574	0.219
adrenaline	neutral	0.12	0.66	0.22
rushmore	neutral	0.279	0.69	0.031
conjures	negative	0.719	0.258	0.022
insists	negative	0.704	0.186	0.111
triage	neutral	0.036	0.861	0.104
nacional	neutral	0.339	0.548	0.113
experiment	neutral	0.14	0.76	0.1
mabuhay	positive	0.037	0.194	0.769
differs	negative	0.675	0.195	0.129
descarga	neutral	0.18	0.731	0.089
poolside	neutral	0.032	0.885	0.082
realest	negative	0.668	0.12	0.212
threadless	neutral	0.078	0.74	0.181
henri	neutral	0.182	0.582	0.236
henry	neutral	0.313	0.509	0.178
unconditionally	positive	0.015	0.108	0.876
@user850899	neutral	0.372	0.519	0.109
henne	negative	0.451	0.246	0.302
henna	neutral	0.082	0.555	0.363
@user312195	negative	0.43	0.287	0.283
henny	neutral	0.236	0.675	0.09
trigga	negative	0.453	0.357	0.19
eclectic	neutral	0.213	0.472	0.315
britney	neutral	0.267	0.62	0.113
sherman	neutral	0.022	0.799	0.179
#porsche	neutral	0.184	0.779	0.037
aliyah	positive	0.099	0.335	0.566
#dontmeantobrag	negative	0.736	0.042	0.222
sobbing	negative	0.53	0.441	0.029
@user312064	negative	0.674	0.125	0.201
@user312102	neutral	0.04	0.591	0.369
heron	neutral	0.156	0.802	0.042
heres	neutral	0.037	0.531	0.431
herds	neutral	0.021	0.889	0.09
heree	negative	0.429	0.377	0.194
herbs	neutral	0.093	0.711	0.196
here-	neutral	0.11	0.705	0.185
storewide	neutral	0.01	0.854	0.136
greeter	neutral	0.42	0.489	0.09
includ	neutral	0.161	0.765	0.073
threatens	negative	0.742	0.148	0.11
escrever	neutral	0.144	0.788	0.068
#wewillnotforget	negative	0.492	0.071	0.437
trilha	neutral	0.056	0.84	0.104
degress	neutral	0.277	0.707	0.016
spielberg	neutral	0.125	0.543	0.332
derwin	neutral	0.224	0.593	0.183
realise	negative	0.627	0.298	0.076
realize	negative	0.56	0.304	0.136
over-the-top	negative	0.538	0.05	0.413
http://news22.org	neutral	0.043	0.636	0.321
fxstreet.com	neutral	0.336	0.638	0.026
fujitsu	neutral	0.058	0.61	0.332
hertz	neutral	0.048	0.634	0.317
herts	neutral	0.013	0.708	0.279
herre	neutral	0.246	0.714	0.04
herro	positive	0.188	0.404	0.408
herrr	positive	0.159	0.263	0.578
greener	positive	0.058	0.216	0.726
marinating	neutral	0.07	0.801	0.129
m0rning	neutral	0.162	0.582	0.255
#nahimgood	neutral	0.405	0.482	0.113
degrees	neutral	0.189	0.766	0.044
hernandez	neutral	0.093	0.643	0.264
sheriff	negative	0.445	0.417	0.138
tavakoli	neutral	0.219	0.619	0.162
fracking	negative	0.899	0.08	0.021
estranho	neutral	0.223	0.713	0.064
t-shirts	neutral	0.046	0.873	0.082
#kissonustream	positive	0.185	0.354	0.461
communicates	neutral	0.207	0.459	0.335
http://yumurl.com/bintnn	positive	0.008	0.245	0.747
communicated	negative	0.557	0.335	0.108
@user208975	neutral	0.342	0.622	0.036
@user208963	positive	0.075	0.364	0.561
@user208962	neutral	0.155	0.671	0.174
britons	negative	0.719	0.258	0.022
heuer	neutral	0.322	0.588	0.089
reallii	negative	0.532	0.387	0.081
reallll	negative	0.618	0.134	0.249
packaging	neutral	0.016	0.651	0.334
reallly	negative	0.523	0.289	0.189
pathfinder	neutral	0.09	0.71	0.2
really2	negative	0.488	0.174	0.338
unrealistic	negative	0.573	0.205	0.222
reallyy	negative	0.427	0.295	0.279
heute	neutral	0.441	0.463	0.096
dubbing	neutral	0.024	0.689	0.287
communicator	neutral	0.159	0.451	0.39
#140conf	neutral	0.005	0.647	0.349
inches	neutral	0.215	0.766	0.019
cockburn	neutral	0.232	0.554	0.215
lovingly	positive	0.153	0.385	0.462
patients	negative	0.655	0.235	0.109
goldfish	neutral	0.118	0.825	0.058
projected	neutral	0.264	0.597	0.14
@user311819	neutral	0.094	0.699	0.207
jaimee	neutral	0.464	0.505	0.031
curlers	neutral	0.021	0.956	0.023
jaimie	neutral	0.208	0.646	0.146
lollipops	neutral	0.27	0.709	0.021
indonesia	positive	0.205	0.324	0.471
rainwater	negative	0.597	0.372	0.031
@user2008	neutral	0.304	0.357	0.339
@user2007	negative	0.54	0.264	0.196
@user2046	positive	0.14	0.275	0.585
#seedbodycare	positive	0.049	0.449	0.502
@user2060	negative	0.412	0.221	0.367
@user2105	neutral	0.162	0.518	0.32
@user2138	positive	0.059	0.389	0.551
shlita	neutral	0.028	0.779	0.193
@user2154	neutral	0.277	0.506	0.217
-does	neutral	0.315	0.424	0.261
bucharest	neutral	0.227	0.467	0.306
hlstatsx	neutral	0.045	0.888	0.067
indica	neutral	0.248	0.614	0.137
@user575649	neutral	0.299	0.451	0.25
indico	positive	0.175	0.302	0.523
indias	neutral	0.317	0.435	0.247
indian	neutral	0.16	0.593	0.247
-dont	negative	0.735	0.187	0.077
indies	neutral	0.159	0.613	0.229
@user1097836	negative	0.703	0.212	0.085
allintitle	neutral	0.016	0.667	0.316
posible	neutral	0.036	0.593	0.371
@user50031	positive	0.032	0.208	0.76
28-year-old	negative	0.811	0.133	0.056
@user50042	positive	0.254	0.359	0.387
pstbid	neutral	0.031	0.958	0.012
